year,age,sex,smoking,vaping
2033,16,male,0.0117683118067285,0.2497967120342103
2033,17,male,0.0196732053692239,0.2811618234540498
2033,18,male,0.0303439038462074,0.3283542487885226
2033,19,male,0.046527667934946,0.3945816276278921
2033,20,male,0.0535357866511966,0.4196045896173627
2033,21,male,0.0615313656374376,0.4293246524840794
2033,22,male,0.0643558131071563,0.4237418162280423
2033,23,male,0.067300612383274,0.4028560808492512
2033,24,male,0.0670958015237205,0.3666674463477061
2033,25,male,0.0668915692486153,0.3275955157625635
2033,26,male,0.0686544157538332,0.2887446937082939
2033,27,male,0.0704602118696016,0.2668588811437243
2033,28,male,0.0708294477673884,0.2481848569564427
2033,29,male,0.0712004703786487,0.2327226211464491
2033,30,male,0.0688590608729232,0.2204721737137436
2033,31,male,0.0665891278481936,0.2270962547271696
2033,32,male,0.0652744258271187,0.2185154956852875
2033,33,male,0.0639839013169425,0.2117695808388171
2033,34,male,0.062085942820738,0.2068585101877584
2033,35,male,0.0602406602468087,0.202881178968459
2033,36,male,0.0572627035704093,0.1966770941140659
2033,37,male,0.0544234347563796,0.1921729005030424
2033,38,male,0.0535828052583345,0.1873741972588762
2033,39,male,0.0527544357907575,0.1822809843815676
2033,40,male,0.0519381698032221,0.1768932618711164
2033,41,male,0.0518586605034384,0.168293549082512
2033,42,male,0.0517792662724329,0.1628297709356677
2033,43,male,0.0516999869640157,0.1573279649706269
2033,44,male,0.0516208224321197,0.1517881311873897
2033,45,male,0.0515417725308017,0.1464256619972597
2033,46,male,0.0509663174194406,0.1390469603957744
2033,47,male,0.050396945777351,0.1334645320407366
2033,48,male,0.0498336008845129,0.1273514685224608
2033,49,male,0.0492762263802009,0.1207077698409469
2033,50,male,0.0487247662647092,0.1135334359961948
2033,51,male,0.0486210626250761,0.101148138672698
2033,52,male,0.0485175684464699,0.0937354493701304
2033,53,male,0.0484142833537005,0.086203582338655
2033,54,male,0.0483112069720467,0.0785525375782717
2033,55,male,0.0482083389272549,0.0684183591645881
